"","Avrg_FPKM","sd_FPKM","ensembl","ensembl_version","gene","ENTREZID","description","RNA_start","RNA_end","RNA_length"
"1",0.237248366750278,0.410926225224216,"ENSG00000228463","ENSG00000228463.11",NA,NA,"ribosomal protein L23a (RPL23A) pseudogene",258568,259024,457
"2",1.05284437258354,1.03417745108555,"ENSG00000225972","ENSG00000225972.1","MTND1P23",NA,"MT-ND1 pseudogene 23 [Source:HGNC Symbol;Acc:HGNC:42092]",629062,629433,372
"3",47.2452614881576,7.58244587325379,"ENSG00000225630","ENSG00000225630.1","MTND2P28",NA,"MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]",629640,630683,1044
"4",0.640022772992664,0.145581403618137,"ENSG00000237973","ENSG00000237973.1","MTCO1P12",NA,"MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]",631074,632616,1543
"5",0.396817479929576,0.687308036569468,"ENSG00000229344","ENSG00000229344.1","MTCO2P12",NA,"MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]",632757,633438,682
"6",0.523780210651579,0.907213936847665,"ENSG00000240409","ENSG00000240409.1","MTATP8P1",NA,"MT-ATP8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44571]",633535,633741,207
"7",86.5922564959429,13.2008765233322,"ENSG00000248527","ENSG00000248527.1","MTATP6P1",NA,"MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]",633696,634376,681
"8",0.481693662940643,0.417618579700896,"ENSG00000198744","ENSG00000198744.5","MTCO3P12",NA,"MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]",634376,634922,547
"9",0.0141572254295862,0.0245210337382495,"ENSG00000228327","ENSG00000228327.6",NA,NA,"general transcription factor IIi (GTF2I) pseudogene",764723,774280,417
"10",1.30110346784601,2.25357731221335,"ENSG00000223181","ENSG00000223181.1","RNU6-1199P",NA,"RNA, U6 small nuclear 1199, pseudogene [Source:HGNC Symbol;Acc:HGNC:48162]",758233,758336,104
"11",0.0245993904505627,0.0311947660423037,"ENSG00000237491","ENSG00000237491.10","LINC01409",NA,"long intergenic non-protein coding RNA 1409 [Source:HGNC Symbol;Acc:HGNC:50701]",778747,805994,1869
"12",1.49938815247783,0.359160840103847,"ENSG00000230092","ENSG00000230092.8",NA,NA,"F-box only protein 25 (FBXO25) pseudogene",805799,810161,238
"13",0.135616654170167,0.0944869686153249,"ENSG00000228794","ENSG00000228794.12","LINC01128",643837,"long intergenic non-protein coding RNA 1128 [Source:HGNC Symbol;Acc:HGNC:49377]",825138,849592,677
"14",0.106328432326612,0.0992106452631609,"ENSG00000225880","ENSG00000225880.6","LINC00115",NA,"long intergenic non-protein coding RNA 115 [Source:HGNC Symbol;Acc:HGNC:26211]",824228,827539,3312
"15",0.0176624951360629,0.0186923074432119,"ENSG00000187634","ENSG00000187634.13","SAMD11",148398,"sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]",923923,944574,3465
